ZFA:0005145	9.934912664649617E-18	1.0302504433241653E-14	"muscle"
ZFA:0000548	1.080086086301265E-15	1.1200492714944118E-12	"musculature system"
ZFA:0000155	1.4891964351885568E-14	1.5442967032905336E-11	"somite"
ZFA:0000003	4.087894029226727E-14	4.239146108308116E-11	"adaxial cell"
ZFA:0000279	5.0961862786400206E-14	5.284745170949701E-11	"segmental plate"
ZFA:0001373	1.0043850748096682E-13	1.041547322577626E-10	"migratory slow muscle precursor cell"
ZFA:0000393	4.085922201675761E-13	4.237101323137764E-10	"mesenchyme"
ZFA:0009291	4.2913786802617713E-10	4.450159691431457E-7	"muscle precursor cell"
ZFA:0009025	4.944304098428212E-10	5.127243350070055E-7	"myoblast"
ZFA:0000591	1.1735816316133697E-9	1.2170041519830644E-6	"presumptive paraxial mesoderm"
ZFA:0009013	1.2750771724372845E-9	1.322255027817464E-6	"single fate stem cell"
ZFA:0000255	2.274575577033701E-9	2.358734873383948E-6	"paraxial mesoderm"
ZFA:0001115	6.617748758889707E-9	6.862605462968626E-6	"trunk"
ZFA:0000077	2.309837001127907E-8	2.3953009701696395E-5	"tail bud"
ZFA:0005277	8.298074504962652E-8	8.605103261646269E-5	"skeletal muscle"
ZFA:0001484	1.161302048130081E-7	1.2042702239108941E-4	"superficial blastomere"
ZFA:0000086	1.1709080395804813E-7	1.2142316370449592E-4	"EVL"
ZFA:0001308	1.1863886489534849E-7	1.2302850289647638E-4	"organism subdivision"
ZFA:0001185	1.1954884412911114E-7	1.2397215136188824E-4	"periderm"
ZFA:0001056	1.9574662621208589E-7	2.0298925138193306E-4	"myotome"
ZFA:0009114	3.9503251817493304E-7	4.0964872134740556E-4	"muscle cell"
ZFA:0001377	5.766619733043694E-7	5.97998466316631E-4	"presumptive mesoderm"
ZFA:0000473	8.509853093273072E-7	8.824717657724176E-4	"trunk musculature"
ZFA:0000038	9.764789248547559E-7	0.0010126086450743818	"margin"
ZFA:0000360	1.1467902994455622E-6	0.001189221540525048	"heart tube"
ZFA:0009138	1.5320846480210775E-6	0.0015887717799978574	"mesodermal cell"
ZFA:0001122	1.7089058118856251E-6	0.0017721353269253932	"primary germ layer"
ZFA:0000328	2.3574755233646207E-6	0.0024447021177291116	"cephalic musculature"
ZFA:0000105	2.6428028670051564E-5	0.02740586573084347	"epidermis"
ZFA:0000114	3.391774619879711E-5	0.0351727028081526	"heart"
