ZFA:0001185	2.18391896731914E-13	2.2079420759596507E-10	"periderm"
ZFA:0000003	2.8416096614767897E-13	2.8728673677530344E-10	"adaxial cell"
ZFA:0001484	6.108604764022796E-13	6.175799416427047E-10	"superficial blastomere"
ZFA:0005145	9.370778248702989E-13	9.473856809438722E-10	"muscle"
ZFA:0000086	5.977167931742966E-12	6.0429167789921385E-9	"EVL"
ZFA:0001373	2.2284031011940262E-11	2.2529155353071605E-8	"migratory slow muscle precursor cell"
ZFA:0000548	1.6270491023470908E-10	1.644946642472909E-7	"musculature system"
ZFA:0000155	2.408823983987663E-10	2.435321047811527E-7	"somite"
ZFA:0000279	1.0112051083397838E-9	1.0223283645315213E-6	"segmental plate"
ZFA:0000393	6.345132985790474E-9	6.41492944863417E-6	"mesenchyme"
ZFA:0009138	1.2995583348600167E-8	1.313853476543477E-5	"mesodermal cell"
ZFA:0005277	3.819673303470042E-8	3.8616897098082124E-5	"skeletal muscle"
ZFA:0001122	4.799655379333993E-8	4.8524515885066665E-5	"primary germ layer"
ZFA:0009025	1.0064529714726866E-7	1.0175239541588861E-4	"myoblast"
ZFA:0009291	1.3041484986602472E-7	1.31849413214551E-4	"muscle precursor cell"
ZFA:0001377	1.4942096657581504E-7	1.51064597208149E-4	"presumptive mesoderm"
ZFA:0000473	1.8977801575078422E-7	1.9186557392404283E-4	"trunk musculature"
ZFA:0001056	2.6654187032304355E-7	2.69473830896597E-4	"myotome"
ZFA:0009013	9.782693220546784E-7	9.890302845972799E-4	"single fate stem cell"
ZFA:0000328	9.809423396905556E-7	9.917327054271517E-4	"cephalic musculature"
ZFA:0001115	1.1113187087252046E-6	0.001123543214521182	"trunk"
ZFA:0009251	1.3764834656753E-6	0.0013916247837977283	"granulocyte monocyte progenitor cell"
ZFA:0000591	2.6334417282049454E-6	0.0026624095872151998	"presumptive paraxial mesoderm"
ZFA:0009114	3.8147797334011975E-6	0.0038567423104686107	"muscle cell"
ZFA:0000255	4.494699215933866E-6	0.004544140907309139	"paraxial mesoderm"
ZFA:0000105	8.419179188409751E-6	0.008511790159482259	"epidermis"
ZFA:0000077	1.1305414247328572E-5	0.011429773804049187	"tail bud"
ZFA:0001085	2.2591250776993878E-5	0.02283975453554081	"hypaxial myotome region"
