A3	A3	srpk3_wt_ttnb_het_9
A5	B3	srpk3_hom_ttnb_het_2
A8	C3	srpk3_wt_ttnb_het_7
A11	D3	srpk3_hom_ttnb_wt_5
A12	E3	srpk3_wt_ttnb_het_1
B1	F3	srpk3_wt_ttnb_wt_3
B3	G3	srpk3_wt_ttnb_wt_7
B4	H3	srpk3_hom_ttnb_het_9
B5	A4	srpk3_hom_ttnb_wt_1
B8	B4	srpk3_wt_ttnb_het_3
B9	C4	srpk3_hom_ttnb_het_1
B11	D4	srpk3_hom_ttnb_wt_8
B12	E4	srpk3_wt_ttnb_wt_2
C4	F4	srpk3_hom_ttnb_wt_4
C5	G4	srpk3_hom_ttnb_wt_7
C6	H4	srpk3_wt_ttnb_wt_4
C7	E2	srpk3_hom_ttnb_wt_6
C8	F2	srpk3_hom_ttnb_het_10
C10	G2	srpk3_hom_ttnb_het_7
D2	H2	srpk3_hom_ttnb_het_8
D4	A5	srpk3_wt_ttnb_het_2
D5	B5	srpk3_wt_ttnb_wt_5
D7	C5	srpk3_wt_ttnb_het_8
D11	D5	srpk3_wt_ttnb_wt_6
